"name","group__name","group__brand__name","group__brand__sales__001","group__brand__sales__002","group__brand__sales__003","group__brand__sales__004","group__brand__sales__005","group__brand__sales__006","group__brand__sales__007","group__brand__sales__008","group__brand__sales__009","group__brand__sales__010","group__brand__sales__011","group__brand__sales__012","group__brand__sales__013","group__brand__sales__014","group__brand__sales__015","group__brand__sales__016"
"","BMW Group","BMW","0","0","0","0","3","1","4","1","1","0","0","0","1","3","0","7"
"","","MINI","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","2"
"","Mazda","Mazda","1824","3063","2979","1126","838","1930","11760","2802","2167","2355","2110","1668","1570","12672","0","24432"
"","Geely Holding Group","Volvo Cars (2011-)","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"","","Lotus (2017-)","0","1","3","0","2","0","6","2","1","0","1","1","2","7","0","13"
"","Mitsubishi","Mitsubishi","610","575","803","296","408","664","3356","449","407","470","547","580","406","2859","0","6215"
"","Subaru","Subaru","135","114","198","97","50","74","668","78","88","92","177","278","269","982","0","1650"
"","Ferrari","Ferrari (2021-)","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1"
"","SAIC (Shanghai Automotive Industry Corporation (Group))","MG (2006-)","0","0","1","3","2","1","7","1","0","1","1","0","1","4","0","11"
"","","Rover","3","0","10","3","2","3","21","2","7","4","4","1","6","24","0","45"
"","Small and Medium OEM","Autobianchi","3","5","10","7","10","8","43","8","6","2","3","9","6","34","0","77"
"","","Innocenti","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"","","Morgan","3","2","1","4","3","1","14","0","0","0","5","3","1","9","0","23"
"","","Other","3","7","9","9","8","10","46","7","7","4","10","6","7","41","0","87"
"Cars","VW Group","VW","2052","2301","3096","1977","2477","2814","14717","2223","2492","3829","2318","2799","3808","17469","0","32186"
"","","Audi","1260","1568","1588","1405","1846","2238","9905","1402","1813","2017","1670","1762","2181","10845","0","20750"
"","","Porsche (2013-)","595","679","820","496","693","774","4057","306","397","735","308","490","873","3109","0","7166"
"","","Bentley","35","31","45","43","52","68","274","76","56","53","76","67","49","377","0","651"
"","","Lamborghini","40","50","76","36","44","40","286","70","65","60","53","19","18","285","0","571"
"","","Bugatti","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0","2"
"","Toyota Group","Toyota","46103","41441","75875","47265","37276","38251","286211","45529","35586","56220","48127","44330","44171","273963","0","560174"
"","","Daihatsu","4","7","14","3","10","2","40","1","2","10","5","9","7","34","0","74"
"","","Lexus","4750","2844","4044","3071","3103","3521","21333","3578","3224","4399","2990","2654","3074","19919","0","41252"
"","Renault-Nissan Alliance","Nissan","12974","14900","19349","8388","7846","10691","74148","14528","12178","15373","11137","12274","11076","76566","0","150714"
"","","Renault","482","527","801","296","414","495","3015","446","463","908","420","477","511","3225","0","6240"
"","Stellantis","Fiat (2021-)","73","111","155","63","29","115","546","91","75","135","47","62","46","456","0","1002"
"","","Jeep (2021-)","644","679","676","858","756","1337","4950","1020","663","832","650","491","872","4528","0","9478"
"","","Dodge (2021-)","23","44","55","60","32","36","250","38","35","36","25","19","20","173","0","423"
"","","Chrysler (2021-)","1","2","3","3","4","1","14","0","2","3","2","1","0","8","0","22"
"","","Alfa Romeo (2021-)","116","125","227","132","121","199","920","72","65","188","114","107","146","692","0","1612"
"","","Lancia (2021-)","1","0","0","0","0","0","1","0","0","0","3","0","0","3","0","4"
"","","Maserati (2021-)","78","65","164","65","81","190","643","50","72","144","90","106","135","597","0","1240"
"","","Peugeot (2021-)","648","638","784","750","260","969","4049","705","585","754","509","967","982","4502","0","8551"
"","","Citroen (2021-)","410","400","596","400","292","609","2707","183","227","337","127","564","728","2166","0","4873"
"","","Opel (2021-)","0","0","0","0","0","0","0","0","32","0","1","0","0","33","0","33"
"","","DS (2021-)","33","52","62","80","50","71","348","36","72","54","60","175","45","442","0","790"
"","GM Group","Chevrolet","26","59","70","53","34","61","303","64","38","89","69","77","65","402","0","705"
"","","Buick","1","2","0","1","0","1","5","1","1","0","0","0","0","2","0","7"
"","","GMC","1","0","1","1","0","2","5","1","1","1","3","1","0","7","0","12"
"","","Cadillac","34","42","137","56","82","74","425","65","57","116","39","52","75","404","0","829"
"","","Pontiac","1","1","3","2","2","1","10","2","2","1","0","2","0","7","0","17"
"","Hyundai Kia Automotive Group","Hyundai","18","14","0","4","7","37","80","60","76","147","63","35","57","438","0","518"
"","Ford Group","Ford","22","38","36","38","29","27","190","23","25","25","19","25","25","142","0","332"
"","Honda","Honda","11119","10040","11922","5271","6559","11100","56011","12857","10472","8891","8895","15475","11100","67690","0","123701"
"","Suzuki","Suzuki","1102","979","1593","1108","1199","1341","7322","1309","1163","1476","1323","1143","1058","7472","0","14794"
"","Mercedes-Benz Group","Mercedes-Benz (2022-)","3760","3459","5566","3441","3820","4303","24349","3325","3221","5369","3537","5696","6860","28008","0","52357"
"","BMW Group","BMW","1806","2398","3453","1550","1973","3007","14187","2316","2210","3564","2956","2935","3016","16997","0","31184"
"","","MINI","1026","1438","2589","1366","1374","1540","9333","1046","1522","2150","1603","1654","1898","9873","0","19206"
"","","Rolls-Royce","18","20","23","16","33","24","134","17","27","21","10","13","18","106","0","240"
"","Mazda","Mazda","8345","12905","15535","4096","2158","6959","49998","9321","7608","10434","10067","7006","7750","52186","0","102184"
"","BYD Auto","BYD Auto","0","0","0","0","0","0","0","5","0","4","2","0","0","11","0","11"
"","Geely Holding Group","Volvo Cars (2011-)","864","1010","1889","1473","1168","1631","8035","821","1164","1738","1022","1540","1845","8130","0","16165"
"","","Lotus (2017-)","30","31","29","30","14","9","143","10","4","3","1","1","4","23","0","166"
"","Mitsubishi","Mitsubishi","4053","3881","5660","1793","2961","3645","21993","4806","3569","4514","2156","2730","3194","20969","0","42962"
"","Subaru","Subaru","4865","4477","11189","5639","3430","6079","35679","9254","6260","7829","7033","7148","6567","44091","0","79770"
"","Tata Group","Land Rover (2008-)","335","468","464","255","352","375","2249","182","432","562","394","304","364","2238","0","4487"
"","","Jaguar (2008-)","127","115","149","57","63","57","568","31","37","104","82","116","77","447","0","1015"
"","Ferrari","Ferrari (2021-)","88","79","163","150","109","143","732","149","146","140","134","77","45","691","0","1423"
"","Aston Martin","Aston Martin (2008-)","26","17","46","44","27","32","192","41","19","8","27","34","28","157","0","349"
"","SAIC (Shanghai Automotive Industry Corporation (Group))","Rover","1","0","2","1","0","0","4","0","0","2","0","1","0","3","0","7"
"","Small and Medium OEM","McLaren","10","8","13","10","4","17","62","14","15","17","7","6","15","74","0","136"
"","","Morgan","0","2","0","0","1","0","3","0","0","1","0","1","1","3","0","6"
"","","Other","10","212","1201","15","3","870","2311","2","222","864","570","1094","775","3527","0","5838"
"Minivan","Toyota Group","Toyota","451","720","777","671","394","538","3551","411","373","510","682","742","804","3522","0","7073"
"","","Daihatsu","6517","7770","8981","7425","5934","7207","43834","8238","6934","8471","9690","10291","7620","51244","0","95078"
"","Renault-Nissan Alliance","Nissan","2229","2770","4168","1650","1755","2189","14761","1905","1640","2481","2037","2297","1789","12149","0","26910"
"","Honda","Honda","2766","3066","4132","2731","1649","2814","17158","2452","2301","2863","2348","2873","2611","15448","0","32606"
"","Suzuki","Suzuki","5017","5434","7242","4170","3753","5044","30660","5073","5692","7077","6575","7436","5538","37391","0","68051"
"","Mazda","Mazda","466","418","616","304","251","321","2376","347","335","356","388","453","387","2266","0","4642"
"","Mitsubishi","Mitsubishi","403","557","900","265","283","427","2835","404","524","736","624","790","505","3583","0","6418"
"","Subaru","Subaru","375","384","377","297","245","324","2002","335","298","360","431","454","323","2201","0","4203"
"","Small and Medium OEM","Other","0","0","0","0","0","0","0","6","1","1","1","2","0","11","0","11"
"Mini Trucks","Toyota Group","Toyota","327","497","468","395","248","309","2244","233","152","254","336","294","581","1850","0","4094"
"","","Daihatsu","6693","8635","7587","7232","5422","6138","41707","8340","7435","9361","8973","8000","6326","48435","0","90142"
"","Renault-Nissan Alliance","Nissan","635","638","900","400","516","630","3719","648","573","768","726","754","694","4163","0","7882"
"","Honda","Honda","146","97","118","45","71","61","538","48","36","48","38","23","8","201","0","739"
"","Suzuki","Suzuki","5239","4061","6275","3757","3417","5179","27928","4603","4257","5527","4310","5124","3934","27755","0","55683"
"","Mazda","Mazda","173","128","262","118","112","152","945","152","146","178","173","202","150","1001","0","1946"
"","Mitsubishi","Mitsubishi","228","242","366","183","249","236","1504","246","187","365","268","288","218","1572","0","3076"
"","Subaru","Subaru","391","433","551","433","329","400","2537","325","256","449","397","351","249","2027","0","4564"
"","Small and Medium OEM","Other","0","0","0","0","0","0","0","1","0","0","13","9","0","23","-1","22"
"Light Trucks","Toyota Group","Toyota","10480","11897","17912","11578","11030","12575","75472","12459","10632","12749","12099","13430","11570","72939","0","148411"
"","","Daihatsu","21","18","35","20","17","33","144","33","24","7","39","30","9","142","0","286"
"","","Hino","781","857","1478","659","773","740","5288","783","883","906","477","532","633","4214","0","9502"
"","Renault-Nissan Alliance","Nissan","2936","3317","4662","2357","2892","3029","19193","2602","1675","1977","1687","2274","2667","12882","0","32075"
"","Daimler Truck Group (2022-)","Mitsubishi Fuso (2022-)","947","1077","1325","887","820","903","5959","867","823","903","846","1049","1649","6137","0","12096"
"","Mazda","Mazda","267","329","565","292","315","381","2149","387","375","389","347","333","332","2163","0","4312"
"","Isuzu","Isuzu","189","214","409","329","304","364","1809","513","493","701","330","559","595","3191","0","5000"
"","","UD Trucks (2021-)","5","6","7","3","9","10","40","7","5","8","7","17","5","49","0","89"
"","SAIC (Shanghai Automotive Industry Corporation (Group))","Rover","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1"
"Trucks","VW Group","VW","1","0","1","0","0","0","2","0","0","1","0","0","0","1","0","3"
"","","Scania (TRATON)","19","13","40","20","22","23","137","43","29","28","11","25","36","172","0","309"
"","Toyota Group","Toyota","1848","2046","3063","2132","1962","2132","13183","2243","2048","2371","2129","2157","1782","12730","0","25913"
"","","Hino","3042","3745","5251","2608","2222","2490","19358","2416","2119","2625","1492","1727","1699","12078","0","31436"
"","Renault-Nissan Alliance","Nissan","221","305","428","151","181","238","1524","185","128","249","280","227","273","1342","0","2866"
"","","Renault","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","2"
"","Stellantis","Fiat (2021-)","2","0","0","0","0","0","2","0","0","1","0","1","6","8","0","10"
"","","Jeep (2021-)","1","2","3","2","90","47","145","13","13","53","68","41","60","248","0","393"
"","","Dodge (2021-)","1","1","0","2","0","2","6","0","2","0","0","1","1","4","0","10"
"","GM Group","Chevrolet","8","6","11","5","5","9","44","5","8","8","4","4","4","33","0","77"
"","","Buick","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1"
"","","GMC","2","3","4","3","3","3","18","3","6","2","0","0","3","14","0","32"
"","","Cadillac","1","0","0","0","0","0","1","0","0","1","1","0","0","2","0","3"
"","Ford Group","Ford","6","9","11","9","4","9","48","8","13","9","7","1","2","40","0","88"
"","Daimler Truck Group (2022-)","Daimler Truck (2022-)","2","2","3","3","2","4","16","1","3","0","2","4","1","11","0","27"
"","","Mitsubishi Fuso (2022-)","848","1014","1208","879","893","1021","5863","971","1168","1153","1155","1099","1387","6933","0","12796"
"","Mazda","Mazda","38","18","28","17","21","36","158","13","20","24","34","28","16","135","0","293"
"","Mitsubishi","Mitsubishi","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"","Tata Group","Land Rover (2008-)","0","0","2","1","1","1","5","1","1","1","0","0","1","4","0","9"
"","Isuzu","Isuzu","2522","2874","4061","2148","2318","2545","16468","2809","3033","4638","2845","3562","3809","20696","0","37164"
"","","UD Trucks (2021-)","339","470","810","526","513","709","3367","514","471","747","698","749","762","3941","0","7308"
"","Volvo Trucks Group","Volvo Trucks","22","35","52","23","43","35","210","28","45","51","46","33","49","252","0","462"
"","Small and Medium OEM","Unimog","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1"
"Buses","VW Group","Scania (TRATON)","0","0","0","2","4","0","6","0","0","0","0","0","0","0","0","6"
"","Toyota Group","Toyota","220","196","339","190","144","151","1240","138","173","183","166","177","175","1012","0","2252"
"","","Hino","93","104","232","29","26","29","513","18","61","28","51","30","47","235","0","748"
"","Renault-Nissan Alliance","Nissan","19","17","43","16","11","7","113","7","21","27","27","37","34","153","0","266"
"","","Renault","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1"
"","Hyundai Kia Automotive Group","Hyundai","1","6","0","0","0","0","7","1","0","0","0","0","0","1","0","8"
"","Daimler Truck Group (2022-)","Daimler Truck (2022-)","0","1","3","1","0","0","5","0","0","0","0","0","0","0","0","5"
"","","Mitsubishi Fuso (2022-)","56","71","233","78","39","47","524","91","129","161","140","123","218","862","0","1386"
"","BYD Auto","BYD Auto","0","0","0","0","0","0","0","0","1","8","2","0","9","20","0","20"
"","Isuzu","Isuzu","71","78","146","25","11","10","341","41","82","104","50","60","109","446","0","787"
"","","UD Trucks (2021-)","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1"
