"name","group__name","group__brand__name","group__brand__sales__001","group__brand__sales__002","group__brand__sales__003","group__brand__sales__004","group__brand__sales__005","group__brand__sales__006","group__brand__sales__007","group__brand__sales__008","group__brand__sales__009","group__brand__sales__010","group__brand__sales__011","group__brand__sales__012","group__brand__sales__013","group__brand__sales__014","group__brand__sales__015","group__brand__sales__016"
"Mini Cars","Toyota Group","Toyota","1720","1356","1923","1892","1574","2265","10730","2807","1976","1154","1012","949","662","8560","0","19290"
"","","Daihatsu","28083","28451","35971","27817","20283","25678","166283","26743","21192","31375","37116","38462","32581","187469","0","353752"
"","Renault-Nissan Alliance","Nissan","5590","13464","20999","8431","8754","11712","68950","13613","10957","14019","11552","11715","11840","73696","0","142646"
"","Honda","Honda","24265","26642","34972","19778","11948","22041","139646","22658","14201","24449","20053","22759","21858","125978","0","265624"
"","Suzuki","Suzuki","26510","30124","40187","28214","27982","31183","184200","30432","26428","35352","34219","35841","31134","193406","0","377606"
"","Mazda","Mazda","1769","1672","2658","1810","1930","1842","11681","1720","1704","2076","2163","2177","1978","11818","0","23499"
"","Mitsubishi","Mitsubishi","1856","2585","3981","1976","2226","2865","15489","2658","2486","3522","2566","2423","2738","16393","0","31882"
"","Subaru","Subaru","723","822","1156","860","752","809","5122","802","883","1367","924","828","745","5549","0","10671"
"","Small and Medium OEM","Other","3","3","2","5","2","2","17","1","0","2","2","1","2","8","0","25"
"Small Cars","VW Group","VW","1","3","3","1","4","4","16","8","6","3","1","3","3","24","0","40"
"","","Porsche (2013-)","1","2","4","2","0","2","11","6","2","3","2","2","1","16","0","27"
"","","Bugatti","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","2"
"","Toyota Group","Toyota","44446","40692","59356","35926","30792","34207","245419","36995","28589","41805","46167","45227","36176","234959","0","480378"
"","","Daihatsu","3179","3180","4205","2595","1785","2469","17413","3740","2584","2980","3526","3389","2593","18812","0","36225"
"","Renault-Nissan Alliance","Nissan","6577","8257","13793","6611","5024","5944","46206","7137","6163","7609","5502","7365","6117","39893","0","86099"
"","","Renault","54","155","161","64","204","372","1010","424","258","153","189","233","108","1365","0","2375"
"","Stellantis","Fiat (2021-)","418","474","644","271","409","712","2928","214","115","499","221","336","443","1828","0","4756"
"","","Abarth (2021-)","140","222","463","195","214","390","1624","145","89","248","159","167","214","1022","0","2646"
"","","Alfa Romeo (2021-)","0","1","1","1","1","1","5","0","0","3","3","2","2","10","0","15"
"","","Lancia (2021-)","0","1","1","1","0","1","4","0","0","1","5","1","2","9","0","13"
"","","Peugeot (2021-)","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"","","Citroen (2021-)","0","0","1","1","1","0","3","1","0","1","0","0","0","2","0","5"
"","Ford Group","Ford","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1"
"","Honda","Honda","9502","13230","22357","9600","10314","12397","77400","12482","10682","12224","11064","10473","11008","67933","0","145333"
"","Suzuki","Suzuki","7017","6583","9375","4834","5542","6732","40083","6133","6748","8970","7760","8619","8275","46505","0","86588"
"","Mercedes-Benz Group","Mercedes-Benz (2022-)","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","2"
"","","smart (2022-)","0","1","0","0","0","0","1","0","0","1","0","0","1","2","0","3"
