Type,Group,Maker/Brand,Jan.,Feb.,Mar.,Apr.,May,Jun.,First Half(Jan.-Jun.),Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Second Half(Jul.-Dec.,Adjusted value,Total
,,Mazda Total,"1,948","2,676","4,457","1,428","1,344",898,"12,751","2,124","2,567","1,024","1,239","2,617","2,331","11,902",0,"24,653"
,Geely Holding Group,Volvo Cars (2011-),-,-,-,-,-,1,1,0,0,0,0,0,0,0,0,1
,,Lotus (2017-),0,2,1,0,0,0,3,3,2,1,3,2,3,14,0,17
,,Geely Holding Group Total,0,2,1,0,0,1,4,3,2,1,3,2,3,14,0,18
,Mitsubishi,Mitsubishi,783,812,"1,089",572,485,448,"4,189",663,488,485,328,530,374,"2,868",0,"7,057"
,,Mitsubishi Total,783,812,"1,089",572,485,448,"4,189",663,488,485,328,530,374,"2,868",0,"7,057"
,Subaru,Subaru,142,174,310,119,117,136,998,150,117,56,113,161,165,762,0,"1,760"
,,Subaru Total,142,174,310,119,117,136,998,150,117,56,113,161,165,762,0,"1,760"
,SAIC (Shanghai Automotive Industry Corporation (Group)),MG (2006-),0,2,0,1,0,0,3,0,2,0,2,2,1,7,0,10
,,Rover,3,2,4,4,3,3,19,1,2,3,3,2,6,17,0,36
,,SAIC (Shanghai Automotive Industry Corporation (Group)) Total,3,4,4,5,3,3,22,1,4,3,5,4,7,24,0,46
,Small and Medium OEM,Autobianchi,2,4,8,8,6,7,35,5,4,11,10,7,10,47,0,82
,,Innocenti,-,-,1,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Morgan,0,0,6,2,0,2,10,1,1,1,2,1,7,13,0,23
,,Saab (2010-),-,-,-,-,-,-,-,-,-,-,1,0,0,1,0,1
,,Other,1,3,2,3,3,5,17,4,1,4,3,4,3,19,0,36
,,Small and Medium OEM Total,3,7,17,13,9,14,63,10,6,16,16,12,20,80,0,143
,,Small Cars Total,"79,793","89,601","132,678","78,127","65,539","73,843","519,581","89,091","72,490","60,936","61,111","76,822","73,176","433,626",0,"953,207"
Cars,VW Group,VW,"1,835","2,242","3,577","1,949","2,603","5,084","17,290","3,047","3,009","4,400","2,264","2,374","2,797","17,891",0,"35,181"
,,Audi,"1,576","1,833","2,853","1,556","1,911","3,125","12,854","1,974","1,669","2,124","1,568","1,243","1,103","9,681",0,"22,535"
,,Porsche (2013-),551,690,790,657,561,663,"3,912",451,519,504,296,478,819,"3,067",0,"6,979"
,,Bentley,46,28,49,40,39,83,285,80,64,51,59,36,26,316,0,601
,,Lamborghini,46,53,63,51,31,27,271,30,37,43,25,26,25,186,0,457
,,Bugatti,-,1,0,0,1,1,3,0,0,0,0,0,0,0,0,3
,,VW Group Total,"4,054","4,847","7,332","4,253","5,146","8,983","34,615","5,582","5,298","7,122","4,212","4,157","4,770","31,141",0,"65,756"
,Toyota Group,Toyota,"63,835","65,004","88,969","54,427","49,321","56,523","378,079","60,196","47,464","40,747","33,926","52,208","50,697","285,238",0,"663,317"
,,Daihatsu,4,6,8,7,5,8,38,6,7,4,8,1,1,27,0,65
,,Lexus,"5,448","4,758","5,857","4,404","4,485","5,398","30,350","4,701","3,509","2,819","2,841","3,235","3,663","20,768",0,"51,118"
,,Toyota Group Total,"69,287","69,768","94,834","58,838","53,811","61,929","408,467","64,903","50,980","43,570","36,775","55,444","54,361","306,033",0,"714,500"
,Renault-Nissan Alliance,Nissan,"12,079","13,444","16,990","6,066","6,657","8,338","63,574","10,848","10,061","14,096","9,101","10,983","9,077","64,166",0,"127,740"
,,Renault,206,444,804,448,471,569,"2,942",612,408,578,363,363,433,"2,757",0,"5,699"
,,Renault-Nissan Alliance Total,"12,285","13,888","17,794","6,514","7,128","8,907","66,516","11,460","10,469","14,674","9,464","11,346","9,510","66,923",0,"133,439"
,Stellantis,Fiat (2021-),59,122,212,77,87,152,709,142,145,168,107,116,140,818,0,"1,527"
,,Jeep (2021-),953,"1,092","1,925",936,977,"1,479","7,362",987,992,"1,747","1,164","1,010","1,009","6,909",0,"14,271"
,,Dodge (2021-),36,46,68,54,45,60,309,47,55,48,43,52,47,292,0,601
,,Chrysler (2021-),1,1,1,4,0,1,8,1,2,3,3,2,2,13,0,21
,,Abarth (2021-),2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
,,Alfa Romeo (2021-),124,172,336,128,119,284,"1,163",192,196,293,127,136,222,"1,166",0,"2,329"
,,Lancia (2021-),-,-,-,-,-,-,-,-,-,-,-,1,0,1,0,1
,,Maserati (2021-),51,70,125,44,51,145,486,102,57,123,55,98,164,599,0,"1,085"
,,Peugeot (2021-),961,"1,040","1,914",880,"1,060","1,535","7,390","1,133",624,555,365,761,"1,242","4,680",0,"12,070"
,,Citroen (2021-),412,363,952,448,486,761,"3,422",575,219,340,180,387,760,"2,461",0,"5,883"
,,Opel (2021-),-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,2
,,DS (2021-),58,60,114,59,84,93,468,88,43,48,48,86,108,421,0,889
,,Stellantis Total,"2,657","2,966","5,647","2,630","2,909","4,510","21,319","3,267","2,333","3,325","2,092","2,649","3,696","17,362",0,"38,681"
,GM Group,Chevrolet,34,24,44,34,58,100,294,77,57,82,88,77,32,413,0,707
,,Buick,4,0,1,0,1,1,7,0,0,0,2,2,0,4,0,11
,,GMC,2,1,5,2,2,3,15,3,4,9,5,2,6,29,0,44
,,Cadillac,22,51,112,33,83,84,385,55,62,75,42,70,106,410,0,795
,,Hummer,-,-,-,-,-,-,-,-,1,0,0,0,0,1,0,1
,,Pontiac,1,0,1,0,1,0,3,0,1,0,0,2,1,4,0,7
,,GM Group Total,63,76,163,69,145,188,704,135,125,166,137,153,145,861,0,"1,565"
,Hyundai Kia Automotive Group,Hyundai,4,2,0,0,0,2,8,4,0,1,3,1,6,15,0,23
,,Hyundai Kia Automotive Group Total,4,2,0,0,0,2,8,4,0,1,3,1,6,15,0,23
,Ford Group,Ford,20,46,38,47,49,63,263,45,40,40,47,29,46,247,0,510
,,Ford Group Total,20,46,38,47,49,63,263,45,40,40,47,29,46,247,0,510
,Honda,Honda,"8,432","11,621","14,214","10,985","8,547","11,200","64,999","13,798","10,626","10,387","14,131","13,001","11,857","73,800",0,"138,799"
,,Honda Total,"8,432","11,621","14,214","10,985","8,547","11,200","64,999","13,798","10,626","10,387","14,131","13,001","11,857","73,800",0,"138,799"
,Suzuki,Suzuki,"1,041",967,"1,478",999,"1,055",636,"6,176",505,823,"1,219","1,426","1,591","1,089","6,653",0,"12,829"
,,Suzuki Total,"1,041",967,"1,478",999,"1,055",636,"6,176",505,823,"1,219","1,426","1,591","1,089","6,653",0,"12,829"
,Daimler Group (-2021),Mercedes-Benz (-2021),"3,660","3,929","6,357","3,212","4,327","6,060","27,545","4,206","3,722","5,225","2,420","3,242","5,317","24,132",0,"51,677"
,,Maybach (-2021),-,-,-,-,-,1,1,0,0,0,0,0,0,0,0,1
,,Daimler Group (-2021) Total,"3,660","3,929","6,357","3,212","4,327","6,061","27,546","4,206","3,722","5,225","2,420","3,242","5,317","24,132",0,"51,678"
,BMW Group,BMW,"2,018","3,125","4,818","2,279","2,617","4,380","19,237","2,506","2,368","4,070","2,014","2,495","3,567","17,020",0,"36,257"
,,MINI,"1,195","1,691","2,527","1,172","1,138","1,413","9,136","1,520","1,392","1,651","1,038","1,556","1,918","9,075",0,"18,211"
,,Rolls-Royce,11,20,33,15,12,29,120,13,14,29,13,22,29,120,0,240
,,BMW Group Total,"3,224","4,836","7,378","3,466","3,767","5,822","28,493","4,039","3,774","5,750","3,065","4,073","5,514","26,215",0,"54,708"
,Mazda,Mazda,"9,931","11,442","19,904","4,926","4,785","5,791","56,779","6,067","5,245","6,665","6,270","4,884","9,654","38,785",0,"95,564"
,,Mazda Total,"9,931","11,442","19,904","4,926","4,785","5,791","56,779","6,067","5,245","6,665","6,270","4,884","9,654","38,785",0,"95,564"
,Geely Holding Group,Volvo Cars (2011-),"1,147","1,261","2,039",960,"1,198","1,825","8,430","1,221","1,039","1,716","1,105","1,283","1,843","8,207",0,"16,637"
,,Lotus (2017-),11,23,38,16,12,36,136,19,33,34,21,20,25,152,0,288
,,Geely Holding Group Total,"1,158","1,284","2,077",976,"1,210","1,861","8,566","1,240","1,072","1,750","1,126","1,303","1,868","8,359",0,"16,925"
,Mitsubishi,Mitsubishi,"2,651","2,954","4,930","1,827","1,460","1,454","15,276","1,205","2,019","2,777","2,061","1,661","2,471","12,194",0,"27,470"
,,Mitsubishi Total,"2,651","2,954","4,930","1,827","1,460","1,454","15,276","1,205","2,019","2,777","2,061","1,661","2,471","12,194",0,"27,470"
,Subaru,Subaru,"9,543","8,200","12,800","5,283","4,680","5,323","45,829","6,147","5,529","4,595","5,594","7,312","6,348","35,525",0,"81,354"
,,Subaru Total,"9,543","8,200","12,800","5,283","4,680","5,323","45,829","6,147","5,529","4,595","5,594","7,312","6,348","35,525",0,"81,354"
,Tata Group,Land Rover (2008-),301,230,688,346,602,654,"2,821",310,248,654,98,302,340,"1,952",0,"4,773"
,,Jaguar (2008-),36,75,155,59,130,111,566,117,73,165,35,53,50,493,0,"1,059"
,,Tata Group Total,337,305,843,405,732,765,"3,387",427,321,819,133,355,390,"2,445",0,"5,832"
,Ferrari,Ferrari (2021-),82,78,108,87,90,121,566,100,99,124,90,108,150,671,0,"1,237"
,,Ferrari Total,82,78,108,87,90,121,566,100,99,124,90,108,150,671,0,"1,237"
