"name","group__name","group__brand__name","group__brand__sales__001","group__brand__sales__002","group__brand__sales__003","group__brand__sales__004","group__brand__sales__005","group__brand__sales__006","group__brand__sales__007","group__brand__sales__008","group__brand__sales__009","group__brand__sales__010","group__brand__sales__011","group__brand__sales__012","group__brand__sales__013","group__brand__sales__014","group__brand__sales__015","group__brand__sales__016"
"","","Saab (2010-)","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","2"
"","","Other","0","1","2","5","1","1","10","3","3","2","1","1","2","12","0","22"
"Cars","VW Group","VW","2206","3036","4955","1610","2733","3921","18461","2197","2250","4266","2658","3343","3233","17947","0","36408"
"","","Audi","1647","2048","3262","1439","1855","3207","13458","1839","2269","3350","1975","2390","3055","14878","0","28336"
"","","Porsche (2013-)","498","623","879","308","506","765","3579","265","338","801","451","649","831","3335","0","6914"
"","","Bentley","14","21","43","37","33","36","184","21","27","52","39","38","57","234","0","418"
"","","Lamborghini","28","32","83","40","37","59","279","33","31","32","38","33","29","196","0","475"
"","Toyota Group","Toyota","48036","63299","82959","46862","51460","64021","356637","55271","44330","55174","47646","47894","48588","298903","0","655540"
"","","Daihatsu","4","9","9","13","9","9","53","18","27","24","25","28","19","141","0","194"
"","","Lexus","4038","3672","5626","3050","2629","3006","22021","2815","2489","3632","3904","5681","5063","23584","0","45605"
"","Renault-Nissan Alliance","Nissan","17610","19208","24854","7689","11279","13526","94166","12671","9633","14120","6230","7861","11365","61880","0","156046"
"","","Renault","244","387","772","243","319","428","2393","415","271","448","211","347","260","1952","0","4345"
"","GM Group","Chevrolet","25","34","44","27","25","38","193","39","34","48","59","160","121","461","0","654"
"","","Buick","1","0","1","1","2","1","6","1","1","0","0","0","0","2","0","8"
"","","Opel (-2017)","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1"
"","","GMC","0","1","0","1","1","3","6","1","1","2","5","0","1","10","0","16"
"","","Cadillac","29","32","76","26","39","56","258","28","23","77","55","53","66","302","0","560"
"","","Hummer","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1"
"","","Pontiac","0","1","2","2","1","1","7","0","2","0","1","1","0","4","0","11"
"","Hyundai Kia Automotive Group","Hyundai","0","1","0","1","8","1","11","0","0","0","0","0","4","4","0","15"
"","Ford Group","Ford","26","18","53","35","25","43","200","40","40","38","26","40","38","222","0","422"
"","Honda","Honda","11173","11975","17977","8508","8974","11291","69898","8929","7945","13673","10210","11819","11008","63584","0","133482"
"","FCA","Fiat (-2020)","77","95","199","148","98","167","784","127","96","142","102","94","112","673","0","1457"
"","","Jeep (2009-20)","551","638","1289","634","733","1137","4982","644","717","1150","702","793","1113","5119","0","10101"
"","","Dodge (2009-20)","21","28","31","21","23","32","156","26","22","28","25","28","34","163","0","319"
"","","Chrysler (2009-20)","12","9","36","44","20","17","138","13","6","15","9","11","20","74","0","212"
"","","Abarth (-2020)","75","102","164","92","50","88","571","85","53","114","49","52","55","408","0","979"
"","","Alfa Romeo (-2020)","128","112","165","77","90","144","716","82","78","237","77","332","293","1099","0","1815"
"","","Ferrari (-2020)","43","62","71","70","64","93","403","92","47","60","58","54","61","372","0","775"
"","","Lancia (-2020)","0","1","0","2","1","0","4","0","1","0","0","0","0","1","0","5"
"","","Maserati (-2020)","93","109","194","123","133","206","858","130","107","162","100","196","271","966","0","1824"
"","PSA","Peugeot (-2020)","354","580","1222","407","527","850","3940","634","475","1006","572","758","855","4300","0","8240"
"","","Citroen (-2020)","153","192","365","177","120","292","1299","298","152","355","362","334","343","1844","0","3143"
"","","DS (-2020)","86","73","139","61","85","64","508","32","24","89","42","57","47","291","0","799"
"","Suzuki","Suzuki","475","459","783","398","365","340","2820","678","583","649","1191","1202","1122","5425","671","8916"
"","Daimler Group (-2021)","Mercedes-Benz (-2021)","4161","5032","8578","3594","4735","6594","32694","5080","4823","8480","4559","5413","7166","35521","0","68215"
"","","Maybach (-2021)","1","0","0","0","0","0","1","0","0","0","0","0","1","1","0","2"
"","BMW Group","BMW","2494","3969","6718","2720","3652","5981","25534","3597","3800","6059","3711","4540","5499","27206","0","52740"
"","","MINI","1182","1919","3278","1515","1799","2772","12465","1695","1692","2729","1774","2309","2760","12959","0","25424"
"","","Rolls-Royce","27","14","22","15","18","26","122","15","16","17","11","17","27","103","0","225"
"","Mazda","Mazda","8777","9779","19781","5886","6003","6780","57006","8400","5852","12865","7471","7193","7527","49308","0","106314"
"","Geely Holding Group","Volvo Cars (2011-)","1046","1219","1851","911","1123","1553","7703","1308","1184","1550","1026","1218","1775","8061","0","15764"
"","","Lotus (2017-)","15","22","19","13","6","13","88","9","12","10","15","12","16","74","0","162"
"","Mitsubishi","Mitsubishi","1656","1744","4244","1261","1496","2310","12711","1813","1507","2574","1539","1973","1605","11011","0","23722"
"","Subaru","Subaru","12385","12651","17623","9213","10552","12772","75196","11496","9897","12962","10952","10059","9434","64800","0","139996"
"","Tata Group","Land Rover (2008-)","134","297","473","175","185","366","1630","180","232","488","252","290","524","1966","0","3596"
"","","Jaguar (2008-)","150","243","611","170","128","286","1588","111","112","295","126","145","237","1026","0","2614"
"","Aston Martin","Aston Martin (2008-)","14","26","48","32","34","33","187","20","25","15","25","25","24","134","0","321"
"","SAIC (Shanghai Automotive Industry Corporation (Group))","Rover","1","1","1","0","0","1","4","0","0","1","1","0","1","3","0","7"
"","Small and Medium OEM","De Tomaso","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"","","McLaren","22","8","11","10","6","13","70","16","16","17","18","12","15","94","0","164"
"","","Morgan","1","0","0","1","0","0","2","2","0","0","2","0","1","5","0","7"
"","","RUF","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","2"
"","","Other","54","57","122","57","56","85","431","47","50","145","53","59","118","472","0","903"
"Minivan","Toyota Group","Toyota","440","411","524","439","437","498","2749","404","405","390","389","234","297","2119","0","4868"
"","","Daihatsu","4548","5847","7761","4977","4928","6496","34557","5525","4361","5208","4928","8299","6722","35043","0","69600"
"","Renault-Nissan Alliance","Nissan","1466","1897","3171","2161","1917","3815","14427","2514","2180","3148","2120","4054","2067","16083","0","30510"
"","Honda","Honda","862","821","1000","650","645","739","4717","583","528","862","756","697","626","4052","0","8769"
"","Suzuki","Suzuki","6243","6970","9121","5936","5652","9648","43570","6654","4956","6400","7189","10957","5931","42087","0","85657"
"","Mazda","Mazda","509","544","817","421","477","587","3355","551","502","766","531","542","431","3323","0","6678"
"","Mitsubishi","Mitsubishi","515","650","986","446","474","644","3715","623","449","672","506","555","451","3256","0","6971"
"","Subaru","Subaru","426","516","632","456","443","512","2985","505","362","406","277","214","440","2204","0","5189"
"","Small and Medium OEM","Other","0","0","0","0","0","0","0","3","0","0","0","0","1","4","0","4"
"Mini Trucks","Toyota Group","Toyota","283","317","385","312","340","372","2009","338","296","315","237","211","203","1600","0","3609"
"","","Daihatsu","5348","6526","8847","5817","5475","6577","38590","6214","5229","6576","5744","5478","5575","34816","0","73406"
"","Renault-Nissan Alliance","Nissan","683","767","1012","623","749","1210","5044","932","675","1329","946","879","792","5553","0","10597"
"","Honda","Honda","1803","1888","1691","1429","2062","1782","10655","1286","1492","2014","1339","1319","1293","8743","0","19398"
"","Suzuki","Suzuki","4924","4842","6950","4366","4924","5112","31118","5336","4416","5637","4723","4517","4102","28731","0","59849"
"","Mazda","Mazda","232","243","432","226","226","238","1597","278","221","383","231","221","223","1557","0","3154"
"","Mitsubishi","Mitsubishi","428","468","757","303","331","447","2734","508","325","499","387","460","329","2508","0","5242"
"","Subaru","Subaru","531","527","911","555","530","599","3653","636","446","605","358","283","489","2817","0","6470"
"","Small and Medium OEM","Other","0","0","0","0","0","0","0","0","1","1","1","0","0","3","0","3"
"Light Trucks","Toyota Group","Toyota","9811","12311","16764","10274","11031","14601","74792","12207","10000","12290","11520","11923","10622","68562","0","143354"
"","","Hino","748","776","1293","468","605","1000","4890","773","942","1198","855","1181","1214","6163","0","11053"
"","Renault-Nissan Alliance","Nissan","4136","6050","8129","3962","4372","5992","32641","5499","4459","6087","2367","3598","3217","25227","0","57868"
"","GM Group","Chevrolet","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","2"
"","Daimler Group (-2021)","Mitsubishi Fuso (2004-21)","646","987","1852","792","863","1405","6545","927","1014","1902","970","1073","1385","7271","0","13816"
"","Mazda","Mazda","827","1154","1655","998","1048","1218","6900","1188","1026","1308","1165","1122","886","6695","0","13595"
"","Mitsubishi","Mitsubishi","33","76","153","87","79","111","539","100","79","118","59","63","50","469","0","1008"
"","Isuzu","Isuzu","1014","1260","2540","841","951","1199","7805","1078","1178","1765","890","1266","1087","7264","0","15069"
"","Volvo Trucks Group","UD Trucks (2008-)","3","5","9","5","5","3","30","3","6","7","7","13","4","40","0","70"
"","SAIC (Shanghai Automotive Industry Corporation (Group))","Rover","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"Trucks","VW Group","VW","0","0","0","0","1","0","1","1","0","0","1","1","0","3","0","4"
"","","Scania (TRATON)","9","13","22","12","6","16","78","11","10","15","10","15","15","76","0","154"
"","Toyota Group","Toyota","1033","1219","1833","1055","1034","1427","7601","1325","1085","1366","1578","1573","1465","8392","0","15993"
"","","Hino","3234","3987","8833","2289","2779","4054","25176","4001","6107","3611","2957","4016","4163","24855","0","50031"
"","Renault-Nissan Alliance","Nissan","287","646","1095","323","283","318","2952","305","292","358","215","271","195","1636","0","4588"
"","","Renault","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","2"
"","GM Group","Chevrolet","8","8","18","18","15","9","76","13","16","10","11","13","14","77","0","153"
"","","Buick","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1"
"","","GMC","2","1","7","3","1","3","17","5","3","4","4","2","1","19","0","36"
"","","Cadillac","2","6","3","5","0","0","16","1","1","1","0","1","0","4","0","20"
"","Ford Group","Ford","5","1","9","12","10","10","47","10","10","13","14","7","20","74","0","121"
"","FCA","Fiat (-2020)","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1"
"","","Jeep (2009-20)","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"","","Dodge (2009-20)","2","4","5","1","5","4","21","1","3","1","1","2","1","9","0","30"
"","","Chrysler (2009-20)","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"","Daimler Group (-2021)","Mercedes-Benz (-2021)","1","2","0","0","0","0","3","1","0","0","2","2","5","10","0","13"
"","","Mitsubishi Fuso (2004-21)","1409","1904","3256","1604","1747","2504","12424","2100","2357","2388","1968","2097","2521","13431","0","25855"
"","Mazda","Mazda","40","58","69","46","58","62","333","73","59","74","67","43","68","384","0","717"
"","Tata Group","Land Rover (2008-)","7","8","0","2","0","1","18","2","0","1","1","0","0","4","0","22"
"","Isuzu","Isuzu","3823","5134","9756","3443","3749","4888","30793","5105","5882","6812","4040","4565","4306","30710","0","61503"
"","Volvo Trucks Group","Volvo Trucks","21","20","49","24","22","34","170","20","36","28","36","32","33","185","0","355"
"","","UD Trucks (2008-)","458","532","1017","511","566","861","3945","562","741","764","664","751","779","4261","0","8206"
"","Small and Medium OEM","Other","0","0","2","0","1","0","3","1","1","0","1","0","0","3","0","6"
"Buses","VW Group","Scania (TRATON)","0","2","2","0","0","0","4","0","0","0","0","0","2","2","0","6"
"","Toyota Group","Toyota","281","415","740","464","365","505","2770","501","423","487","363","338","313","2425","0","5195"
"","","Hino","255","328","782","273","192","280","2110","379","536","271","297","197","199","1879","0","3989"
"","Renault-Nissan Alliance","Nissan","61","59","191","37","35","43","426","43","66","39","29","40","54","271","0","697"
"","Hyundai Kia Automotive Group","Hyundai","7","36","12","1","0","1","57","2","21","8","1","22","1","55","0","112"
"","Daimler Group (-2021)","Mercedes-Benz (-2021)","0","1","1","1","0","0","3","0","0","0","0","0","0","0","0","3"
"","","Mitsubishi Fuso (2004-21)","195","293","585","227","171","260","1731","316","320","191","164","160","222","1373","0","3104"
"","Isuzu","Isuzu","145","276","501","132","86","151","1291","279","412","124","92","148","141","1196","0","2487"
