"name","group__name","group__brand__name","group__brand__sales__001","group__brand__sales__002","group__brand__sales__003","group__brand__sales__004","group__brand__sales__005","group__brand__sales__006","group__brand__sales__007","group__brand__sales__008","group__brand__sales__009","group__brand__sales__010","group__brand__sales__011","group__brand__sales__012","group__brand__sales__013","group__brand__sales__014","group__brand__sales__015","group__brand__sales__016"
"Mini Cars","Toyota Group","Toyota","1477","1756","2256","1619","1355","1839","10302","2089","2057","2055","1779","2178","1824","11982","0","22284"
"","","Daihatsu","37131","41644","54249","33684","36007","42262","244977","39307","31760","38932","38362","34827","31618","214806","0","459783"
"","Renault-Nissan Alliance","Nissan","11666","16393","19366","9546","10441","11215","78627","12450","9912","15523","6238","8963","9620","62706","0","141333"
"","Honda","Honda","26510","29769","40204","18991","20129","25583","161186","21096","16615","35715","28473","27525","24221","153645","0","314831"
"","Suzuki","Suzuki","30227","41472","55144","31941","31236","33538","223558","33904","27672","38739","29492","28930","28490","187227","0","410785"
"","Mazda","Mazda","2322","2796","3959","2377","2188","2542","16184","2395","2390","3016","2098","2154","1692","13745","0","29929"
"","Mitsubishi","Mitsubishi","3185","3595","7307","2034","2761","3623","22505","3185","2773","5616","2449","3819","3077","20919","0","43424"
"","Subaru","Subaru","1804","2028","3234","1215","1328","1842","11451","1704","1468","2198","1349","1375","1390","9484","0","20935"
"","Small and Medium OEM","Other","2","3","4","3","9","5","26","10","6","8","4","5","4","37","0","63"
"Small Cars","VW Group","VW","929","1137","1820","800","1131","1317","7134","930","821","1144","787","892","920","5494","0","12628"
"","","Porsche (2013-)","1","0","0","0","1","4","6","1","0","0","0","1","1","3","0","9"
"","","Bugatti","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","2"
"","Toyota Group","Toyota","52861","68011","94498","51182","48854","71366","386772","60758","48559","62193","56357","62668","58912","349447","0","736219"
"","","Daihatsu","1119","966","1810","2202","2246","2988","11331","2639","2253","3206","2597","3013","2834","16542","0","27873"
"","Renault-Nissan Alliance","Nissan","19930","20626","33723","12373","13080","15936","115668","16787","13404","19918","3904","9027","10653","73693","0","189361"
"","","Renault","135","266","561","252","203","197","1614","224","171","250","141","184","190","1160","0","2774"
"","Ford Group","Ford","0","1","1","0","0","0","2","1","2","1","0","2","0","6","0","8"
"","Honda","Honda","19169","22301","31903","18944","16168","21697","130182","23473","17588","23744","17838","19357","16171","118171","0","248353"
"","FCA","Fiat (-2020)","259","330","690","277","360","603","2519","307","341","627","302","425","544","2546","0","5065"
"","","Abarth (-2020)","105","186","401","145","152","245","1234","129","185","281","144","142","171","1052","0","2286"
"","","Alfa Romeo (-2020)","1","0","0","1","2","2","6","5","4","3","2","1","2","17","0","23"
"","","Lancia (-2020)","3","0","3","1","0","1","8","1","2","0","1","2","2","8","0","16"
"","PSA","Peugeot (-2020)","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","2"
"","","Citroen (-2020)","0","0","2","1","0","1","4","2","0","0","1","1","1","5","0","9"
"","Suzuki","Suzuki","8782","9140","12767","8681","8211","9501","57082","8724","6526","9322","6477","6538","6666","44253","-671","100664"
"","Daimler Group (-2021)","smart (-2021)","477","402","527","259","465","389","2519","277","263","488","284","260","547","2119","0","4638"
"","BMW Group","BMW","0","0","0","1","0","1","2","0","0","1","1","2","0","4","0","6"
"","","MINI","0","0","0","2","1","1","4","0","0","0","0","0","0","0","0","4"
"","Mazda","Mazda","4227","4934","7082","2047","3041","4845","26176","4498","3740","5343","2548","1836","5161","23126","0","49302"
"","Geely Holding Group","Volvo Cars (2011-)","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1"
"","","Lotus (2017-)","1","1","0","1","0","1","4","2","1","1","1","0","1","6","0","10"
"","Mitsubishi","Mitsubishi","989","1143","1737","680","692","1096","6337","850","790","1258","550","834","635","4917","0","11254"
"","Subaru","Subaru","337","567","873","282","287","368","2714","298","216","304","239","230","146","1433","0","4147"
"","Tata Group","Land Rover (2008-)","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"","SAIC (Shanghai Automotive Industry Corporation (Group))","MG (2006-)","1","1","2","2","1","0","7","0","1","1","2","2","1","7","0","14"
"","","Rover","2","5","5","5","0","2","19","1","4","1","5","2","6","19","0","38"
"","Small and Medium OEM","Autobianchi","2","1","3","9","2","8","25","2","5","8","8","1","0","24","0","49"
"","","Morgan","1","0","3","3","1","3","11","2","0","1","0","0","2","5","0","16"
