"name","group__name","group__brand__name","group__brand__sales__001","group__brand__sales__002","group__brand__sales__003","group__brand__sales__004","group__brand__sales__005","group__brand__sales__006","group__brand__sales__007","group__brand__sales__008","group__brand__sales__009","group__brand__sales__010","group__brand__sales__011","group__brand__sales__012","group__brand__sales__013","group__brand__sales__014","group__brand__sales__015","group__brand__sales__016"
"","","Abarth (2021-)","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2"
"","","Alfa Romeo (2021-)","124","172","336","128","119","284","1163","192","196","293","127","136","222","1166","0","2329"
"","","Lancia (2021-)","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1"
"","","Maserati (2021-)","51","70","125","44","51","145","486","102","57","123","55","98","164","599","0","1085"
"","","Peugeot (2021-)","961","1040","1914","880","1060","1535","7390","1133","624","555","365","761","1242","4680","0","12070"
"","","Citroen (2021-)","412","363","952","448","486","761","3422","575","219","340","180","387","760","2461","0","5883"
"","","Opel (2021-)","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","2"
"","","DS (2021-)","58","60","114","59","84","93","468","88","43","48","48","86","108","421","0","889"
"","GM Group","Chevrolet","34","24","44","34","58","100","294","77","57","82","88","77","32","413","0","707"
"","","Buick","4","0","1","0","1","1","7","0","0","0","2","2","0","4","0","11"
"","","GMC","2","1","5","2","2","3","15","3","4","9","5","2","6","29","0","44"
"","","Cadillac","22","51","112","33","83","84","385","55","62","75","42","70","106","410","0","795"
"","","Hummer","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1"
"","","Pontiac","1","0","1","0","1","0","3","0","1","0","0","2","1","4","0","7"
"","Hyundai Kia Automotive Group","Hyundai","4","2","0","0","0","2","8","4","0","1","3","1","6","15","0","23"
"","Ford Group","Ford","20","46","38","47","49","63","263","45","40","40","47","29","46","247","0","510"
"","Honda","Honda","8432","11621","14214","10985","8547","11200","64999","13798","10626","10387","14131","13001","11857","73800","0","138799"
"","Suzuki","Suzuki","1041","967","1478","999","1055","636","6176","505","823","1219","1426","1591","1089","6653","0","12829"
"","Daimler Group (-2021)","Mercedes-Benz (-2021)","3660","3929","6357","3212","4327","6060","27545","4206","3722","5225","2420","3242","5317","24132","0","51677"
"","","Maybach (-2021)","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"","BMW Group","BMW","2018","3125","4818","2279","2617","4380","19237","2506","2368","4070","2014","2495","3567","17020","0","36257"
