Name,Group,Brand,Jan,Feb,Mar,Apr,May,Jun,First Half,Jul,Aug,Sep,Oct,Nov,Dec,Second Half,Adjusted Value,Total
,PSA,Citroen (-2020),0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2
,Daimler Group (-2021),Mercedes-Benz (-2021),2,3,22,2,3,2,34,3,3,3,4,3,7,23,0,57
,,Mitsubishi Fuso (2004-21),1272,1554,2457,1388,1186,1529,9386,1447,1504,1720,1587,1478,1910,9646,0,19032
,Mazda,Mazda,34,44,62,37,35,46,258,38,37,45,30,29,37,216,0,474
,Mitsubishi,Mitsubishi,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
,Tata Group,Land Rover (2008-),0,0,3,0,2,1,6,3,1,2,0,1,1,8,0,14
,Isuzu,Isuzu,3860,4919,7998,3411,3212,4549,27949,4500,4277,6544,3322,4324,4649,27616,0,55565
,Volvo Trucks Group,Volvo Trucks,39,44,73,32,29,37,254,45,36,35,39,38,22,215,0,469
,,UD Trucks (2008-),340,412,813,461,479,709,3214,504,448,729,577,710,1112,4080,0,7294
,Small and Medium OEM,Streetscooter,0,77,83,16,6,86,268,7,53,50,45,18,15,188,0,456
,,Other,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Buses,VW Group,Scania (TRATON),2,1,9,2,2,3,19,4,0,0,2,0,0,6,0,25
,Toyota Group,Toyota,272,306,628,349,208,247,2010,270,250,291,215,257,246,1529,0,3539
,,Hino,189,296,590,148,91,95,1409,205,130,171,105,94,144,849,0,2258
,Renault-Nissan Alliance,Nissan,46,137,252,51,19,41,546,30,42,39,35,45,57,248,0,794
,Hyundai Kia Automotive Group,Hyundai,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5
,Ford Group,Ford,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2
,Daimler Group (-2021),Mercedes-Benz (-2021),0,8,0,0,0,0,8,0,1,1,1,0,0,3,0,11
,,Mitsubishi Fuso (2004-21),124,221,363,122,46,87,963,85,74,72,55,79,120,485,0,1448
,Isuzu,Isuzu,129,210,321,101,45,78,884,112,55,93,42,18,48,368,0,1252
