Name,Group,Brand,Jan,Feb,Mar,Apr,May,Jun,First Half,Jul,Aug,Sep,Oct,Nov,Dec,Second Half,Adjusted Value,Total
,Isuzu,Isuzu,3354,4558,7614,3405,3483,4898,27312,4735,5394,5564,3310,3324,4034,26361,0,53673
,,UD Trucks,509,579,911,490,544,748,3781,566,626,732,604,555,586,3669,0,7450
,Volvo Trucks Group,Volvo Trucks,10,49,81,46,40,60,286,40,34,44,25,35,42,220,0,506
,Small and Medium OEM,Unimog,0,3,1,0,1,1,6,1,0,0,0,1,1,3,0,9
Buses,VW Group,Scania (TRATON),0,0,0,0,0,4,4,0,0,0,0,0,2,2,0,6
,Toyota Group,Toyota,190,211,373,269,278,313,1634,300,314,275,316,373,368,1946,0,3580
,,Hino,65,50,106,33,30,52,336,53,93,113,100,68,93,520,0,856
,Renault-Nissan Alliance,Nissan,33,94,77,13,14,30,261,21,27,34,30,43,110,265,0,526
,Hyundai Kia Automotive Group,Hyundai,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2
,Daimler Truck Group (2022-),Mitsubishi Fuso,111,173,409,133,114,116,1056,154,160,206,171,170,252,1113,0,2169
,BYD Auto,BYD Auto,17,19,8,0,0,0,44,0,0,2,4,3,11,20,0,64
,Isuzu,Isuzu,121,150,200,22,25,39,557,92,96,146,109,109,98,650,0,1207
