Name,Group,Brand,Jan,Feb,Mar,Apr,May,Jun,First Half,Jul,Aug,Sep,Oct,Nov,Dec,Second Half,Adjusted Value,Total
Mini Cars,Toyota Group,Toyota,1725,1963,2550,2353,2166,2046,12803,2192,2142,2519,1594,1888,1531,11866,0,24669
,,Daihatsu,39126,45054,55228,35356,33536,37340,245640,38243,37127,51431,29554,37416,24737,218508,0,464148
,Renault-Nissan Alliance,Nissan,13888,14949,16347,9795,12274,14817,82070,15197,13797,18237,9631,12526,10436,79824,0,161894
,Honda,Honda,25052,27442,34630,25149,26031,26215,164519,26049,26406,32085,16950,20133,18049,139672,0,304191
,Suzuki,Suzuki,36711,41669,54677,36325,33723,31296,234401,32561,28271,42746,32732,32603,30185,199098,0,433499
,Mazda,Mazda,2921,2820,3360,2259,2419,2198,15977,2438,2471,3185,1628,1815,1724,13261,0,29238
,Mitsubishi,Mitsubishi,4238,4993,6564,3082,3611,3762,26250,3148,3889,5767,2025,2534,1982,19345,0,45595
,Subaru,Subaru,1049,1473,1886,1033,1018,1241,7700,1431,1169,2600,1129,1001,862,8192,0,15892
,Small and Medium OEM,Other,5,6,10,11,4,4,40,13,4,6,4,5,7,39,0,79
Small Cars,VW Group,VW,181,261,393,224,293,293,1645,152,124,277,147,155,253,1108,0,2753
,,Porsche (2013-),1,0,1,2,2,1,7,2,4,2,3,3,4,18,0,25
,,Bugatti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
,Toyota Group,Toyota,48431,59336,77852,51058,50959,57444,345080,65964,48952,63313,42120,54498,47958,322805,0,667885
,,Daihatsu,4406,4181,5325,2652,2124,2281,20969,2926,2100,3674,2719,5913,5159,22491,0,43460
,Renault-Nissan Alliance,Nissan,15075,17283,21403,10046,10395,15038,89240,14163,9543,16404,7327,8621,7664,63722,0,152962
,,Renault,144,205,325,88,135,191,1088,181,164,169,183,160,113,970,0,2058
,Ford Group,Ford,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2
,Honda,Honda,15429,18427,24264,14439,16540,20803,109902,21138,16398,20525,10592,12304,10231,91188,0,201090
,FCA,Fiat (-2020),354,462,702,295,408,554,2775,296,331,623,244,293,418,2205,0,4980
,,Abarth (-2020),189,211,323,146,223,322,1414,176,190,346,102,176,224,1214,0,2628
,,Alfa Romeo (-2020),0,1,3,2,0,3,9,0,1,0,0,4,1,6,0,15
,,Lancia (-2020),0,1,0,2,2,1,6,0,1,0,1,0,0,2,0,8
,PSA,Peugeot (-2020),1,0,0,0,1,0,2,3,0,0,0,1,0,4,0,6
,,Citroen (-2020),0,0,0,0,0,1,1,1,1,1,2,1,2,8,0,9
,Suzuki,Suzuki,9465,10643,13857,9940,8353,7983,60241,8176,7125,10038,6126,7221,7137,45823,0,106064
,Daimler Group (-2021),Mercedes-Benz (-2021),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
,,smart (-2021),339,172,264,260,218,171,1424,129,91,144,60,64,78,566,0,1990
,BMW Group,BMW,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,3
,,MINI,0,0,0,0,1,1,2,0,0,1,0,0,1,2,0,4
,Mazda,Mazda,2516,3653,6475,2337,2728,2816,20525,3248,1805,5659,2290,2104,2199,17305,0,37830
,Geely Holding Group,Volvo Cars (2011-),0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2
,,Lotus (2017-),1,2,1,3,1,2,10,1,0,1,2,2,2,8,0,18
,Mitsubishi,Mitsubishi,909,738,1280,723,798,651,5099,761,567,1078,395,444,390,3635,0,8734
,Subaru,Subaru,278,258,395,174,225,240,1570,248,169,308,191,211,180,1307,0,2877
,SAIC (Shanghai Automotive Industry Corporation (Group)),MG (2006-),0,0,1,3,2,0,6,1,1,1,1,1,1,6,0,12
,,Rover,2,3,1,3,1,6,16,3,0,0,5,4,2,14,0,30
,Small and Medium OEM,Autobianchi,1,3,6,5,5,4,24,12,7,7,3,7,3,39,0,63
,,Morgan,0,1,0,2,1,0,4,1,1,3,1,2,1,9,0,13
,,Other,3,1,2,1,5,1,13,3,0,2,0,1,2,8,0,21
Cars,VW Group,VW,2638,3723,6082,2026,3476,4497,22442,3392,3107,5664,2107,3606,3720,21596,0,44038
,,Audi,1049,1330,2306,2204,1975,2450,11314,1424,2029,3080,1565,2074,2736,12908,0,24222
,,Porsche (2013-),386,503,619,298,612,812,3230,595,453,905,355,558,1071,3937,0,7167
,,Bentley,24,36,76,38,49,53,276,50,27,43,23,43,64,250,0,526
,,Lamborghini,23,48,84,60,82,66,363,82,41,65,51,46,30,315,0,678
,Toyota Group,Toyota,48721,57307,76307,49808,52233,57507,341883,62580,47061,69497,43320,51337,45544,319339,0,661222
,,Daihatsu,11,13,17,10,14,12,77,15,11,15,10,3,18,72,0,149
,,Lexus,5855,5479,7796,4175,4085,4150,31540,5144,4593,7727,4474,4988,3928,30854,0,62394
,Renault-Nissan Alliance,Nissan,16294,18334,21458,8407,10128,12284,86905,13654,11770,16387,6560,8677,7947,64995,0,151900
,,Renault,359,437,847,327,358,431,2759,403,267,502,229,261,324,1986,0,4745
