Name,Group,Brand,Jan,Feb,Mar,Apr,May,Jun,First Half,Jul,Aug,Sep,Oct,Nov,Dec,Second Half,Adjusted Value,Total
,GM Group,Chevrolet,37,42,56,47,40,50,272,54,27,66,31,18,32,228,0,500
,,Buick,0,0,2,1,0,1,4,0,1,1,4,0,2,8,0,12
,,GMC,1,2,1,0,1,3,8,0,1,0,1,0,4,6,0,14
,,Cadillac,44,36,48,23,41,40,232,52,24,67,29,26,39,237,0,469
,,Hummer,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Pontiac,0,1,0,1,0,0,2,1,1,3,0,1,0,6,0,8
,Hyundai Kia Automotive Group,Hyundai,0,1,0,1,1,5,8,0,0,2,0,0,0,2,0,10
,,Kia,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
,Ford Group,Ford,24,45,32,26,26,40,193,39,32,44,28,24,45,212,0,405
,Honda,Honda,14668,16907,23336,11599,12365,14633,93508,13813,10379,15400,7801,7914,7337,62644,0,156152
,FCA,Fiat (-2020),35,44,43,121,131,103,477,60,31,243,60,70,66,530,0,1007
,,Jeep (2009-20),677,669,1135,724,1140,1803,6148,1080,1221,1986,788,998,1133,7206,0,13354
,,Dodge (2009-20),14,30,33,30,37,49,193,41,26,54,32,32,29,214,0,407
,,Chrysler (2009-20),2,3,3,2,1,0,11,4,1,1,2,1,4,13,0,24
,,Abarth (-2020),10,18,49,21,22,45,165,32,23,51,15,21,20,162,0,327
,,Alfa Romeo (-2020),162,188,339,150,195,255,1289,158,167,264,102,151,224,1066,0,2355
,,Ferrari (-2020),58,77,61,56,54,115,421,96,75,115,40,40,83,449,0,870
,,Lancia (-2020),0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
,,Maserati (-2020),59,81,157,72,95,163,627,91,90,157,62,66,167,633,0,1260
,PSA,Peugeot (-2020),672,824,1452,603,737,1120,5408,1021,697,1161,655,885,793,5212,0,10620
,,Citroen (-2020),196,282,368,169,410,409,1834,378,336,487,306,382,381,2270,0,4104
,,Opel (2018-20),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
,,DS (-2020),42,53,75,5,84,71,330,118,106,122,80,83,65,574,0,904
,Suzuki,Suzuki,1279,1491,1861,1498,1521,1467,9117,1284,996,1572,847,1024,1086,6809,0,15926
,Daimler Group (-2021),Mercedes-Benz (-2021),4397,5138,7838,3639,4540,6180,31732,5159,4290,7926,3698,6051,7666,34790,0,66522
,,Maybach (-2021),0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
,BMW Group,BMW,2191,3665,5978,2882,3724,5124,23564,3435,3683,5409,2729,3473,4727,23456,0,47020
,,MINI,1281,1932,3115,1430,2098,2722,12578,1805,1816,2805,1324,1516,1968,11234,0,23812
,,Rolls-Royce,19,6,18,16,17,19,95,15,29,29,14,16,41,144,0,239
,Mazda,Mazda,9610,11598,15689,5064,7173,6888,56022,9456,8570,16489,6921,7285,9855,58576,0,114598
,Geely Holding Group,Volvo Cars (2011-),1140,1363,2074,1241,1506,1950,9274,1295,1313,1868,904,1752,2175,9307,0,18581
,,Lotus (2017-),10,14,27,15,14,9,89,19,11,21,15,11,19,96,0,185
,Mitsubishi,Mitsubishi,2422,3250,7649,2060,2796,3178,21355,2985,2451,5089,1581,2103,2176,16385,0,37740
,Subaru,Subaru,5105,9430,15627,7977,6904,9505,54548,10221,8001,11127,4842,7483,5976,47650,0,102198
,Tata Group,Land Rover (2008-),275,412,762,133,237,530,2349,258,325,546,206,288,577,2200,0,4549
,,Jaguar (2008-),201,303,774,135,188,363,1964,199,146,329,93,166,362,1295,0,3259
,Aston Martin,Aston Martin (2008-),12,13,64,25,29,26,169,21,27,34,10,15,38,145,0,314
,SAIC (Shanghai Automotive Industry Corporation (Group)),Rover,1,1,1,2,0,1,6,0,2,0,0,2,1,5,0,11
,Small and Medium OEM,McLaren,18,24,37,32,45,35,191,18,31,58,9,23,23,162,0,353
,,Morgan,2,1,0,4,0,3,10,0,0,1,0,1,0,2,0,12
,,Saab (2010-),0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
,,Other,12,10,83,23,32,81,241,18,39,290,234,107,245,933,0,1174
Minivan,Toyota Group,Toyota,558,622,731,717,741,693,4062,717,571,766,458,563,546,3621,0,7683
,,Daihatsu,5454,5982,7297,5484,5576,6963,36756,6147,4894,6988,4329,6255,4908,33521,0,70277
,Renault-Nissan Alliance,Nissan,2052,2531,3411,1587,1955,3141,14677,2387,2168,3022,1735,2938,1901,14151,0,28828
,Honda,Honda,4959,5434,5631,3561,3655,4179,27419,3812,3154,3239,2414,2949,2387,17955,0,45374
,Suzuki,Suzuki,5448,6927,9288,5696,5719,8741,41819,6610,5737,5818,5506,9523,4934,38128,0,79947
,Mazda,Mazda,420,447,613,422,463,402,2767,493,413,637,341,364,349,2597,0,5364
,Mitsubishi,Mitsubishi,474,610,844,340,400,383,3051,689,506,897,455,648,387,3582,0,6633
,Subaru,Subaru,410,358,452,330,422,368,2340,489,330,543,169,264,333,2128,0,4468
,Small and Medium OEM,Other,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,3
Mini Trucks,Toyota Group,Toyota,285,340,390,382,366,371,2134,374,352,403,256,311,250,1946,0,4080
,,Daihatsu,6258,6651,7667,6432,6932,7794,41734,7939,5659,9165,4909,5688,5721,39081,0,80815
,Renault-Nissan Alliance,Nissan,675,806,1142,562,745,879,4809,768,672,940,699,782,737,4598,0,9407
,Honda,Honda,1240,1301,1775,1133,1062,1505,8016,1216,1038,1855,885,1145,1113,7252,0,15268
,Suzuki,Suzuki,4873,5559,7357,4933,5012,4728,32462,4595,4236,6119,4208,4738,4182,28078,0,60540
,Mazda,Mazda,195,177,323,158,211,188,1252,165,137,223,166,204,150,1045,0,2297
,Mitsubishi,Mitsubishi,406,343,571,189,312,379,2200,448,324,614,235,293,217,2131,0,4331
,Subaru,Subaru,505,560,696,443,429,539,3172,536,415,698,282,427,296,2654,0,5826
Light Trucks,Toyota Group,Toyota,10249,12778,17790,11258,12348,14151,78574,14536,11126,15865,11016,12181,10265,74989,0,153563
,,Hino,823,1178,1358,534,631,1052,5576,1322,1315,1119,613,616,619,5604,0,11180
,Renault-Nissan Alliance,Nissan,4911,5856,8091,3831,4581,5065,32335,4536,3481,6227,3739,3904,3413,25300,0,57635
,GM Group,Chevrolet,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,Daimler Group (-2021),Mitsubishi Fuso,643,780,1804,677,797,1116,5817,1070,1222,1980,914,1136,1543,7865,0,13682
,Mazda,Mazda,899,1176,1695,924,1080,1157,6931,1233,985,1557,903,1108,981,6767,0,13698
,Mitsubishi,Mitsubishi,51,70,92,27,30,28,298,25,28,66,16,16,4,155,0,453
,Isuzu,Isuzu,1033,1407,2828,1251,1218,1483,9220,1763,2699,1086,519,676,780,7523,0,16743
,Volvo Trucks Group,UD Trucks (2008-),5,3,5,3,4,6,26,7,1,0,4,9,4,25,0,51
,SAIC (Shanghai Automotive Industry Corporation (Group)),Rover,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Trucks,VW Group,VW,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,3
,,Scania (TRATON),11,22,20,22,16,21,112,20,14,47,18,33,23,155,0,267
,Toyota Group,Toyota,1626,1914,2749,1842,1931,2067,12129,1966,1674,2333,1391,1571,1630,10565,0,22694
,,Hino,3751,4699,7509,3260,3658,4958,27835,5022,5624,5864,2932,3932,4069,27443,0,55278
,Renault-Nissan Alliance,Nissan,345,476,634,246,254,271,2226,311,250,393,240,502,262,1958,0,4184
,,Renault,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2
,GM Group,Chevrolet,7,8,10,7,4,5,41,11,8,4,9,6,5,43,0,84
,,GMC,3,1,1,3,0,2,10,2,1,4,3,0,3,13,0,23
,,Cadillac,0,0,0,1,1,2,4,1,0,1,1,1,2,6,0,10
,,Hummer,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2
,Ford Group,Ford,4,5,9,9,10,10,47,15,12,9,7,8,7,58,0,105
,FCA,Fiat (-2020),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
,,Jeep (2009-20),0,1,0,0,0,0,1,0,0,0,2,2,1,5,0,6
,,Dodge (2009-20),1,0,1,1,0,2,5,2,2,0,0,1,2,7,0,12
,,Chrysler (2009-20),0,0,0,1,0,0,1,0,0,1,0,0,1,2,0,3
,PSA,Citroen (-2020),0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2
,Daimler Group (-2021),Mercedes-Benz (-2021),2,3,4,1,0,0,10,2,1,2,3,2,5,15,0,25
,,Mitsubishi Fuso,1632,1939,2955,1787,1984,2552,12849,2320,2670,1652,1062,1536,1934,11174,0,24023
,Mazda,Mazda,46,55,69,55,57,54,336,35,39,22,29,43,51,219,0,555
,Tata Group,Land Rover (2008-),0,2,2,2,0,0,6,0,0,0,1,0,3,4,0,10
,Isuzu,Isuzu,3827,5099,8609,3799,4339,5740,31413,6459,7479,6311,2992,4082,4154,31477,0,62890
,Volvo Trucks Group,Volvo Trucks,16,23,29,31,31,33,163,33,46,78,32,34,38,261,0,424
,,UD Trucks (2008-),360,510,981,539,585,937,3912,517,590,955,421,568,850,3901,0,7813
,Small and Medium OEM,Other,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,4
Buses,VW Group,Scania (TRATON),0,9,6,2,0,1,18,3,1,0,0,0,0,4,0,22
,Toyota Group,Toyota,327,371,772,444,421,552,2887,554,460,530,361,315,308,2528,0,5415
,,Hino,242,303,752,246,184,202,1929,261,341,261,148,174,213,1398,0,3327
,Renault-Nissan Alliance,Nissan,50,71,216,48,42,53,480,58,72,84,33,43,63,353,0,833
,Hyundai Kia Automotive Group,Hyundai,0,2,6,0,5,4,17,0,14,7,0,2,0,23,0,40
,Daimler Group (-2021),Mercedes-Benz (-2021),3,5,0,0,0,2,10,0,0,0,4,0,0,4,0,14
,,Mitsubishi Fuso,111,164,392,171,126,168,1132,139,267,181,103,105,219,1014,0,2146
,Isuzu,Isuzu,120,238,323,75,59,77,892,122,133,183,132,147,180,897,0,1789
