Name,Group,Brand,Jan,Feb,Mar,Apr,May,Jun,First Half,Jul,Aug,Sep,Oct,Nov,Dec,Second Half,Adjusted Value,Total
Mini Cars,Toyota Group,Toyota,1584,2088,2886,2635,2155,2141,13489,1922,1901,2249,2243,2076,1747,12138,0,25627
,,Daihatsu,39090,42973,55419,34664,31775,36881,240802,38262,31198,39531,39717,37818,33339,219865,0,460667
,Renault-Nissan Alliance,Nissan,15302,14820,16677,7958,8886,10594,74237,12004,10249,15430,11692,11778,10463,71616,0,145853
,Honda,Honda,26284,30917,40299,25696,24318,27889,175403,25648,20568,31238,26026,24897,21590,149967,0,325370
,Suzuki,Suzuki,34155,41265,54499,34619,31953,36867,233358,38091,31438,40504,33445,32730,31532,207740,0,441098
,Mazda,Mazda,2910,3218,3978,2597,2571,2686,17960,2643,2812,3084,2243,2215,1916,14913,0,32873
,Mitsubishi,Mitsubishi,3570,4764,7231,1998,2693,4310,24566,4045,2807,5100,2932,3612,2867,21363,0,45929
,Subaru,Subaru,1621,1974,2632,1267,1332,1516,10342,1195,1008,1852,1400,1360,1061,7876,0,18218
,Small and Medium OEM,Other,7,5,7,8,7,5,39,9,4,10,4,2,3,32,0,71
Small Cars,VW Group,VW,772,655,378,164,273,541,2783,244,240,352,184,259,497,1776,0,4559
,,Porsche (2013-),0,1,4,1,1,1,8,2,0,2,1,1,1,7,0,15
,,Bugatti,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,Toyota Group,Toyota,49634,60337,80662,54368,50276,61338,356615,65220,48627,56379,57037,59569,50053,336885,0,693500
,,Daihatsu,2028,2623,3273,2228,2355,3007,15514,3113,2670,3306,3772,2725,3907,19493,0,35007
,Renault-Nissan Alliance,Nissan,16730,18532,26766,10785,11833,15683,100329,15416,12924,17814,12747,12581,10601,82083,0,182412
,,Renault,207,279,484,183,140,167,1460,203,150,274,162,184,192,1165,0,2625
,Ford Group,Ford,0,1,1,0,0,0,2,0,1,0,0,0,2,3,0,5
,Honda,Honda,16499,20393,28191,15535,15192,18829,114639,18697,12788,17995,17294,18749,15305,100828,0,215467
,FCA,Fiat (-2020),248,352,626,290,365,565,2446,382,292,446,356,416,500,2392,0,4838
,,Abarth (-2020),148,150,279,180,237,257,1251,162,167,297,149,145,181,1101,0,2352
,,Alfa Romeo (-2020),1,1,1,0,0,0,3,1,1,0,2,3,3,10,0,13
,,Ferrari (-2020),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Lancia (-2020),0,2,1,1,3,0,7,0,0,2,1,3,1,7,0,14
,PSA,Peugeot (-2020),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
,,Citroen (-2020),0,0,1,0,2,0,3,2,1,1,0,1,1,6,0,9
,Suzuki,Suzuki,8063,9399,12271,9472,8324,9784,57313,9624,7288,9977,7721,8397,8631,51638,0,108951
,Daimler Group (-2021),Mercedes-Benz (-2021),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,smart (-2021),124,64,50,206,379,319,1142,158,194,262,183,255,271,1323,0,2465
,BMW Group,BMW,0,1,0,1,0,0,2,0,0,1,1,0,0,2,0,4
,,MINI,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
,Mazda,Mazda,4098,5280,7593,2775,3519,3711,26976,3413,4013,4643,3482,3172,2484,21207,0,48183
,Geely Holding Group,Lotus (2017-),2,0,3,1,1,3,10,0,0,2,3,0,1,6,0,16
,Mitsubishi,Mitsubishi,955,1029,1443,461,634,640,5162,773,810,978,620,654,492,4327,0,9489
,Subaru,Subaru,170,191,303,266,216,264,1410,236,148,236,156,146,212,1134,0,2544
,Tata Group,Land Rover (2008-),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,Aston Martin,Aston Martin (2008-),0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2
,SAIC (Shanghai Automotive Industry Corporation (Group)),MG (2006-),1,0,0,1,1,1,4,0,0,3,1,0,1,5,0,9
,,Rover,0,2,4,6,1,1,14,1,1,0,6,3,4,15,0,29
,Small and Medium OEM,Autobianchi,3,6,7,7,6,5,34,7,3,8,4,6,7,35,0,69
,,Morgan,1,1,0,2,3,3,10,0,1,1,1,2,1,6,0,16
,,Other,1,1,0,4,0,1,7,3,3,5,1,6,2,20,0,27
Cars,VW Group,VW,2023,3289,6077,2715,4393,4795,23292,3438,3420,4715,3542,4121,4871,24107,0,47399
,,Audi,1506,2166,3569,1467,2190,3154,14052,1503,2096,3165,1504,1728,2425,12421,0,26473
,,Porsche (2013-),490,460,970,444,409,772,3545,390,482,834,478,548,874,3606,0,7151
,,Bentley,17,16,30,18,21,24,126,26,24,35,97,68,61,311,0,437
,,Lamborghini,32,61,67,64,38,57,319,40,36,37,52,38,21,224,0,543
,,Bugatti,3,0,0,0,0,2,5,0,0,0,0,0,1,1,0,6
,Toyota Group,Toyota,43441,54541,75739,38894,39547,49640,301802,55295,45194,52947,54519,55520,44558,308033,0,609835
,,Daihatsu,24,23,25,12,16,18,118,18,14,16,17,11,11,87,0,205
,,Lexus,6448,6171,7769,4632,4116,3776,32912,3681,3019,3550,3770,4136,4028,22184,0,55096
,Renault-Nissan Alliance,Nissan,16715,20174,26207,9615,12503,14788,100002,14139,12108,17506,10673,11743,9176,75345,0,175347
,,Renault,284,365,580,224,294,496,2243,386,328,485,370,402,413,2384,0,4627
,GM Group,Chevrolet,45,48,84,46,58,74,355,65,69,73,53,72,63,395,0,750
,,Buick,0,0,1,0,0,1,2,0,0,1,0,0,2,3,0,5
,,GMC,0,1,2,1,0,5,9,4,1,0,1,0,2,8,0,17
,,Cadillac,32,45,112,34,34,54,311,35,26,76,46,52,77,312,0,623
,,Hummer,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
,,Pontiac,0,0,3,0,2,3,8,2,0,1,0,0,0,3,0,11
,,Saturn,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,Hyundai Kia Automotive Group,Hyundai,0,0,1,0,2,0,3,0,0,1,0,0,0,1,0,4
,,Kia,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
,Ford Group,Ford,27,18,29,34,23,38,169,34,36,35,27,25,50,207,0,376
,Honda,Honda,11597,15596,22514,9805,10636,14308,84456,12032,10606,16052,13607,13600,11875,77772,0,162228
,FCA,Fiat (-2020),54,70,150,86,113,134,607,110,81,141,90,74,72,568,0,1175
,,Jeep (2009-20),664,839,1319,655,900,1263,5640,846,820,1217,803,985,1127,5798,0,11438
,,Dodge (2009-20),16,23,25,18,42,48,172,35,36,33,36,34,36,210,0,382
,,Chrysler (2009-20),1,7,9,4,3,1,25,2,3,6,5,3,3,22,0,47
,,Abarth (-2020),38,40,76,27,42,57,280,39,35,61,24,33,66,258,0,538
,,Alfa Romeo (-2020),127,188,279,158,157,259,1168,226,207,280,169,176,271,1329,0,2497
,,Ferrari (-2020),65,60,51,74,80,61,391,95,59,32,67,61,61,375,0,766
,,Lancia (-2020),1,0,0,1,0,0,2,0,0,1,0,0,0,1,0,3
,,Maserati (-2020),66,92,158,88,96,187,687,96,74,150,109,119,218,766,0,1453
,PSA,Peugeot (-2020),669,770,1405,631,725,1031,5231,851,566,1047,578,784,823,4649,0,9880
,,Citroen (-2020),152,156,446,378,213,373,1718,326,192,469,286,239,321,1833,0,3551
,,Opel (2018-20),0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2
,,DS (-2020),22,36,87,34,38,55,272,88,52,117,58,68,94,477,0,749
,Suzuki,Suzuki,1591,1475,2087,1956,1968,1916,10993,1567,1323,1571,1253,1195,874,7783,0,18776
,Daimler Group (-2021),Mercedes-Benz (-2021),4267,5065,8651,3612,4768,6126,32489,4669,4743,7016,4636,5450,8527,35041,0,67530
,BMW Group,BMW,2010,3650,6299,2478,3748,5411,23596,3777,3309,5860,3816,4276,6597,27635,0,51231
,,MINI,1182,1952,3384,1542,2141,2571,12772,1802,1774,2841,1706,2173,2916,13212,0,25984
,,Rolls-Royce,19,14,17,20,21,16,107,9,18,17,18,25,36,123,0,230
,Mazda,Mazda,8995,8310,20158,6789,8245,10330,62827,7507,6815,12914,6620,10735,8840,53431,0,116258
,Geely Holding Group,Volvo Cars (2011-),976,1275,1833,1025,1484,1907,8500,1255,1203,1568,1223,1639,2004,8892,0,17392
,,Lotus (2017-),17,18,29,30,20,15,129,20,15,13,10,7,14,79,0,208
,Mitsubishi,Mitsubishi,2253,2508,8247,1793,2266,3111,20178,2601,2398,4004,2293,2887,2082,16265,0,36443
,Subaru,Subaru,9214,10414,16631,6844,6321,9595,59019,9926,8343,12098,10360,9831,7209,57767,0,116786
,Tata Group,Land Rover (2008-),142,292,751,222,267,330,2004,301,212,442,182,366,456,1959,0,3963
,,Jaguar (2008-),59,181,539,125,270,424,1598,121,230,497,121,252,441,1662,0,3260
,Aston Martin,Aston Martin (2008-),25,19,25,24,15,27,135,18,26,20,23,14,80,181,0,316
,SAIC (Shanghai Automotive Industry Corporation (Group)),Rover,0,0,0,0,0,1,1,2,1,0,0,1,0,4,0,5
,Small and Medium OEM,De Tomaso,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
,,McLaren,20,13,26,19,17,21,116,18,11,14,27,15,21,106,0,222
,,Morgan,1,0,3,0,2,0,6,0,1,0,0,1,1,3,0,9
,,RUF,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
,,Other,43,35,93,10,24,81,286,14,25,116,18,35,102,310,0,596
Minivan,Toyota Group,Toyota,506,609,719,872,788,690,4184,609,553,654,588,629,567,3600,0,7784
,,Daihatsu,6608,6979,8564,6150,5809,6671,40781,5322,3956,4234,5469,6770,5245,30996,0,71777
,Renault-Nissan Alliance,Nissan,2758,3823,3828,1792,2165,3500,17866,2710,1850,2718,2015,3513,1676,14482,0,32348
,Honda,Honda,644,577,906,372,311,280,3090,3257,2692,4287,5680,5651,3758,25325,0,28415
,Suzuki,Suzuki,5431,6243,8507,5975,6706,9463,42325,6141,4804,6993,6607,11963,5547,42055,0,84380
,Mazda,Mazda,522,559,800,438,513,554,3386,532,515,576,556,481,342,3002,0,6388
,Mitsubishi,Mitsubishi,507,597,785,457,524,632,3502,568,418,702,491,670,374,3223,0,6725
,Subaru,Subaru,542,501,769,296,284,482,2874,414,264,390,365,280,320,2033,0,4907
,Small and Medium OEM,Other,0,1,0,1,0,0,2,0,0,1,1,1,0,3,0,5
Mini Trucks,Toyota Group,Toyota,294,384,417,393,298,317,2103,322,356,386,337,338,315,2054,0,4157
,,Daihatsu,5849,6297,8283,5764,4721,6985,37899,7430,5769,6987,7456,7343,6241,41226,0,79125
,Renault-Nissan Alliance,Nissan,1214,1241,1748,895,801,871,6770,1029,695,1009,667,738,601,4739,0,11509
,Honda,Honda,1388,1271,1916,1080,1181,1318,8154,1239,1046,1523,1237,1289,1258,7592,0,15746
,Suzuki,Suzuki,4155,4921,6531,4007,5138,5337,30089,5037,4941,6159,5178,5088,4897,31300,0,61389
,Mazda,Mazda,243,231,320,227,214,221,1456,239,212,269,209,195,163,1287,0,2743
,Mitsubishi,Mitsubishi,350,419,671,270,309,467,2486,482,374,527,320,376,453,2532,0,5018
,Subaru,Subaru,571,534,800,334,389,327,2955,507,430,639,560,536,371,3043,0,5998
,Small and Medium OEM,Other,0,0,1,1,0,0,2,0,0,1,1,0,0,2,0,4
Light Trucks,Toyota Group,Toyota,9669,12147,16375,10925,11737,13008,73861,12014,9214,11022,11552,12829,10499,67130,0,140991
,,Hino,843,995,1457,785,879,1105,6064,946,919,1354,934,1230,986,6369,0,12433
,Renault-Nissan Alliance,Nissan,3319,5185,9289,5086,4949,5777,33605,5334,4613,6105,4574,4726,4008,29360,0,62965
,Ford Group,Ford,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
,PSA,Citroen (-2020),0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
,Daimler Group (-2021),Mitsubishi Fuso,698,999,1935,754,770,1315,6471,869,825,1231,693,904,1191,5713,0,12184
,Mazda,Mazda,891,1057,1607,1018,1084,1314,6971,1150,979,1291,1174,1123,917,6634,0,13605
,Mitsubishi,Mitsubishi,85,78,109,92,75,94,533,82,70,83,66,83,70,454,0,987
,Isuzu,Isuzu,944,1040,2170,738,914,1119,6925,1182,1283,2032,1140,1360,1376,8373,0,15298
,Volvo Trucks Group,UD Trucks (2008-),1,2,9,3,3,11,29,4,5,3,5,4,6,27,0,56
Trucks,VW Group,VW,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,3
,,Scania (TRATON),12,5,21,18,13,27,96,17,24,19,15,28,25,128,0,224
,Toyota Group,Toyota,1342,1806,2573,1775,1706,1871,11073,1853,1623,1760,1932,1814,1808,10790,0,21863
,,Hino,3375,4097,7106,3079,3616,4613,25886,3777,3742,5750,4074,4781,4602,26726,0,52612
,Renault-Nissan Alliance,Nissan,234,522,816,376,422,408,2778,352,270,358,291,419,297,1987,0,4765
,,Renault,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,GM Group,Chevrolet,6,17,14,8,16,10,71,10,7,5,13,8,14,57,0,128
,,GMC,2,1,2,6,5,4,20,1,2,3,3,4,2,15,0,35
,,Cadillac,0,1,2,0,2,1,6,0,0,0,1,3,0,4,0,10
,,Hummer,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
,Ford Group,Ford,6,13,8,12,8,9,56,9,9,6,7,3,12,46,0,102
,FCA,Fiat (-2020),0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
,,Dodge (2009-20),0,1,2,3,1,1,8,1,1,2,1,2,2,9,0,17
,,Chrysler (2009-20),0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2
,PSA,Citroen (-2020),0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,3
,Daimler Group (-2021),Mercedes-Benz (-2021),0,0,2,2,4,1,9,3,1,0,1,3,5,13,0,22
,,Mitsubishi Fuso,1608,1903,3243,1798,2069,2467,13088,2087,1940,2417,1956,2283,2467,13150,0,26238
,Mazda,Mazda,36,54,80,31,54,70,325,66,56,65,54,67,60,368,0,693
,Tata Group,Land Rover (2008-),0,1,0,0,0,2,3,1,1,0,1,1,1,5,0,8
,Isuzu,Isuzu,3652,4711,7612,3192,3765,4473,27405,4792,4603,7366,3951,5021,4831,30564,0,57969
,Volvo Trucks Group,Volvo Trucks,28,28,56,32,34,46,224,53,94,24,4,6,7,188,1,413
,,UD Trucks (2008-),315,455,774,471,475,720,3210,464,491,686,657,709,896,3903,0,7113
Buses,VW Group,Scania (TRATON),0,0,3,0,0,2,5,0,0,0,5,0,15,20,0,25
,Toyota Group,Toyota,274,342,834,466,345,395,2656,386,354,363,361,371,399,2234,0,4890
,,Hino,230,281,773,292,221,187,1984,294,247,428,254,222,249,1694,0,3678
,Renault-Nissan Alliance,Nissan,64,65,154,41,33,53,410,69,80,54,61,94,66,424,0,834
,Hyundai Kia Automotive Group,Hyundai,2,0,1,2,1,0,6,2,0,1,2,1,0,6,0,12
,Daimler Group (-2021),Mercedes-Benz (-2021),0,4,2,0,0,0,6,0,0,0,0,0,1,1,0,7
,,Mitsubishi Fuso,134,229,467,156,124,159,1269,157,173,209,129,186,275,1129,0,2398
,Isuzu,Isuzu,123,189,375,78,67,81,913,110,117,223,131,150,214,945,0,1858
